JAPAN-A_Core マクロ経済複雑系シミュレーション結果
エクスポート日時,2026/06/17 21:31:50
[前提条件 (Inputs)]
項目,設定値,単位,実態適合スケーリング後/説明
初期名目GDP(Y0),691.9,兆円,開始時点(t=0)の名目GDP (実態適合)
初期政府債務残高(B0),1145.0,兆円,開始時点(t=0)の普通国債残高 (実態適合)
初期インフレ率(pi0),2.00,%,開始時点(t=0)の年率インフレ率
初期政策金利(r0),0.25,%,開始時点(t=0)の政策金利
初期長期金利(R0),3.00,%,開始時点(t=0)の長期金利 (リスクプレミアム加味)
初期為替レート(E0),150.0,円/ドル,開始時点(t=0)の為替レート
初期日銀国債保有量(BOJ0),588.4,兆円,開始時点(t=0)の日銀保有国債残高
初期民間保有国債(B_private0),556.6,兆円,開始時点(t=0)の民間部門保有国債残高
政府支出(G),100,兆円,実態適合スケーリング後: 91.0 兆円 (令和8年度予算ベース)
税率(tau),20,%,実効税率調整係数込で初期税収 83.7 兆円に適合
利上げ上限パルス(delta_r_max),0.25,%,1期(四半期)あたりの最大金利変更幅
目標インフレ率(pi_target),2.0,%,中央銀行 of Japan の政策金利調整基準インフレ目標
潜在GDP(Y_potential),500,兆円,実態適合スケーリング後: 691.9 兆円 (供給側上限)
日銀国債買い入れ額(Op),6.0,兆円/月,量的金融政策 (QT/QEの境界は 3.0 兆円/月)
シミュレーション期間(steps),120,期,1期=四半期 (合計: 30.0 年間)

[シミュレーション時系列データ (Outputs)]
期 (step),名目GDP (Y) [兆円],消費 (C) [兆円],投資 (I) [兆円],政府債務残高 (B) [兆円],税収 (T) [兆円],日銀保有国債 (B_boj) [兆円],日銀当座預金負債 (J_pos) [兆円],民間保有国債 (B_private) [兆円],インフレ率 (pi) [%],政策金利 (r) [%],長期金利 (R) [%],為替レート (USDJPY) [円/ドル],利払い費 (interest_payment) [兆円],当座預金付利負担 (boj_interest_payment) [兆円]
97,850.2100,467.6155,82.9395,3920.6515,102.8510,636.9000,543.6000,3283.7515,4.8054,13.2275,23.4896,173.5094,139.9040,72.8374
98,848.0277,466.4152,83.0480,3971.1385,102.5870,637.4000,543.6000,3333.7385,4.7922,13.0614,23.4138,173.7258,141.6302,71.9050
99,845.9003,465.2452,83.1473,4021.8984,102.3296,637.9000,543.6000,3383.9984,4.7802,12.9004,23.3411,173.9523,143.3674,71.0017
100,843.8253,464.1039,83.2383,4072.9392,102.0786,638.4000,543.6000,3434.5392,4.7695,12.7443,23.2712,174.1889,145.1156,70.1264
101,841.7999,462.9899,83.3217,4124.2690,101.8336,638.9000,543.6000,3485.3690,4.7600,12.5929,23.2039,174.4357,146.8750,69.2778
102,839.8219,461.9020,83.3980,4175.8956,101.5943,639.4000,543.6000,3536.4956,4.7517,12.4460,23.1391,174.6927,148.6458,68.4549
103,837.8889,460.8389,83.4680,4227.8267,101.3605,639.9000,543.6000,3587.9267,4.7446,12.3035,23.0766,174.9601,150.4282,67.6566
104,835.9988,459.7994,83.5321,4280.0698,101.1318,640.4000,543.6000,3639.6698,4.7387,12.1651,23.0162,175.2379,152.2223,66.8818
105,834.1497,458.7823,83.5908,4332.6323,100.9081,640.9000,543.6000,3691.7323,4.7339,12.0308,22.9578,175.5261,154.0284,66.1297
106,832.3394,457.7867,83.6447,4385.5215,100.6891,641.4000,543.6000,3744.1215,4.7301,11.9003,22.9013,175.8249,155.8465,65.3993
107,830.5663,456.8115,83.6941,4438.7445,100.4746,641.9000,543.6000,3796.8445,4.7275,11.7735,22.8465,176.1344,157.6768,64.6899
108,828.8285,455.8557,83.7395,4492.3084,100.2644,642.4000,543.6000,3849.9084,4.7260,11.6502,22.7933,176.4546,159.5195,64.0006
109,827.1245,454.9185,83.7811,4546.2202,100.0583,642.9000,543.6000,3903.3202,4.7255,11.5304,22.7416,176.7858,161.3749,63.3306
110,825.4526,453.9989,83.8192,4600.4868,99.8560,643.4000,543.6000,3957.0868,4.7260,11.4139,22.6913,177.1280,163.2429,62.6793
111,823.8114,453.0963,83.8543,4655.1149,99.6575,643.9000,543.6000,4011.2149,4.7276,11.3006,22.6424,177.4814,165.1239,62.0460
